file1,file2
files/50A/29019948,files/50A/164831265
files/50A/29019948,files/50A/21715601
files/50A/29019948,files/50A/33794240
files/50A/29019948,files/50A/31034693
files/50A/29019948,files/50A/36641065
files/50A/30534178,files/50A/142890373
files/50A/30534178,files/50A/138805414
files/50A/30534178,files/50A/21508887
files/50A/30534178,files/50A/21508898
files/50A/164831265,files/50A/21715601
files/50A/164831265,files/50A/33794240
files/50A/164831265,files/50A/31034693
files/50A/164831265,files/50A/36641065
files/50A/21715601,files/50A/33794240
files/50A/21715601,files/50A/31034693
files/50A/21715601,files/50A/36641065
files/50A/33794240,files/50A/31034693
files/50A/33794240,files/50A/36641065
files/50A/142890373,files/50A/138805414
files/50A/142890373,files/50A/21508887
files/50A/142890373,files/50A/21508898
files/50A/31034693,files/50A/36641065
files/50A/138805414,files/50A/21508887
files/50A/138805414,files/50A/21508898
files/50A/21508887,files/50A/21508898
files/4A/84822639,files/4A/173077807
files/4A/84822639,files/4A/84822638
files/4A/173077807,files/4A/84822638
files/4A/134841308,files/4A/127473352
